Age,Fare,Pclass,Sex_female,Sex_male,Survived
-0.5153129506552857,-0.8829200472685969,0.7777777777777779,0.0,1.0,0
0.6796156305743626,1.976777996466962,-1.4444444444444442,1.0,0.0,1
0.15683437628639146,-0.8529966099844671,0.7777777777777779,1.0,0.0,1
0.45556652159380356,1.1648256235931145,-1.4444444444444442,1.0,0.0,1
0.45556652159380356,-0.8471905699144121,0.7777777777777779,0.0,1.0,0
0.15683437628639146,-0.8288792127703924,0.7777777777777779,0.0,1.0,0
1.874544211804011,1.109444933694128,-1.4444444444444442,0.0,1.0,0
-2.0089736771923463,-0.26569332597505596,0.7777777777777779,0.0,1.0,0
-0.14189776902102064,-0.709632082100801,0.7777777777777779,1.0,0.0,1
-1.11277724127011,0.13626329425952202,-0.33333333333333315,1.0,0.0,1
